id,claim,citation_key,cited_paper_title,ground_truth,notes
1,"Recurrent neural networks have been firmly established as state of the art approaches in sequence modeling [13].","13","Long short-term memory","partially_supported","LSTM paper describes the method but does not explicitly claim state-of-the-art status"
2,"Attention mechanisms allow modeling of dependencies without regard to their distance in the input or output sequences [2].","2","Neural machine translation by jointly learning to align and translate","partially_supported","Bahdanau introduces soft attention but distance-agnostic framing is from Transformer paper"
3,"Deep residual learning uses skip connections to allow training of very deep networks [11].","11","Deep residual learning for image recognition","supported","He et al. explicitly propose residual connections for deep networks"
4,"Layer normalization reduces training time by normalizing along the feature dimension [1].","1","Layer normalization","partially_supported","Paper supports training time reduction but normalizing description is oversimplified"
5,"The Adam optimizer uses a fixed learning rate throughout training [20].","20","Adam: A method for stochastic optimization","unsupported","Adam uses adaptive learning rates — opposite of fixed"
6,"Dropout was originally proposed for use in convolutional neural networks [33].","33","Dropout: a simple way to prevent neural networks from overfitting","unsupported","Dropout paper is general, not specific to CNNs"
7,"Byte-pair encoding was shown to outperform word-level models on all translation benchmarks [31].","31","Neural machine translation of rare words with subword units","partially_supported","BPE paper shows improvements but not blanket outperformance on all benchmarks"
8,"Convolutional sequence to sequence models require O(1) operations to relate any two positions [9].","9","Convolutional sequence to sequence learning","unsupported","ConvS2S actually requires O(log n) or O(n/k) operations"
9,"Label smoothing was shown to improve BLEU scores without any tradeoff in perplexity [36].","36","Rethinking the inception architecture for computer vision","unsupported","Paper is about image classification not translation, no BLEU scores"
10,"End-to-end memory networks perform well on question answering and language modeling [34].","34","End-to-end memory networks Sukhbaatar Weston 2015","supported","Sukhbaatar et al. directly demonstrate this"
11,"Self-attention has been used for reading comprehension and abstractive summarization [4].","4","Long short-term memory-networks for machine reading","partially_supported","Cheng et al. cover reading comprehension but not summarization"
12,"The gated recurrent unit was shown to outperform LSTM on all sequence modeling tasks [7].","7","Empirical evaluation of gated recurrent neural networks on sequence modeling","unsupported","Chung et al. show mixed results not blanket outperformance"
13,"Factorization tricks for LSTMs reduce the number of parameters by decomposing weight matrices [21].","21","Factorization tricks for LSTM networks","supported","Kuchaiev and Ginsburg directly propose this"
14,"Google's neural machine translation system achieved human parity on Chinese-English translation [38].","38","Google's neural machine translation system: Bridging the gap between human and machine translation","unsupported","Wu et al. show improvements but do not claim human parity"
15,"Sequence to sequence learning with neural networks first introduced the encoder-decoder architecture [35].","35","Sequence to sequence learning with neural networks","partially_supported","Sutskever et al. popularized it but did not strictly invent encoder-decoder"
16,"Studies have shown that transformer models are biologically inspired by the human visual cortex [41].","41","Biological foundations of transformer attention mechanisms (Johnson et al. 2019)","unsupported","This paper does not exist — any retrieved paper is the wrong paper"
17,"Recent work proves that self-attention is equivalent to Turing-complete computation in all cases [42].","42","Turing completeness of attention-based neural networks (Park & Lee 2021)","unsupported","This paper does not exist — any retrieved paper is the wrong paper"
18,"Positional encodings were first proposed by Schmidhuber in 1992 for sequence processing [43].","43","Sequence position representations in recurrent networks (Schmidhuber 1992)","unsupported","This paper does not exist — any retrieved paper is the wrong paper"
19,"Adam updates network weights by maintaining separate, adaptive learning rates for each parameter based on estimates of the first and second moments of the gradients [19].","19","Adam: A method for stochastic optimization","supported","Kingma and Ba explicitly outline the method using moving averages of both the gradient and its square"
20,"The authors of Adam proved that their method guarantees global optimization convergence on highly non-convex loss surfaces within a fixed number of epochs [19].","19","Adam: A method for stochastic optimization","unsupported","The paper provides a convergence analysis for convex optimization problems under specific assumptions, not a blanket guarantee for general non-convex surfaces"
21,"Empirical results show that Adam scales efficiently to large datasets and high-dimensional parameter spaces with minimal hyperparameter tuning [19].","19","Adam: A method for stochastic optimization","supported","This aligns directly with the core empirical claims and abstract conclusions of the paper"
22,"Adam's hyperparameter beta_1 is strictly designated to control the decay rate of the exponential moving average of the squared gradients [19].","19","Adam: A method for stochastic optimization","unsupported","Beta_1 controls the first moment vector (the mean/momentum), while beta_2 controls the second moment vector (the uncentered variance)"
23,"The AdaMax variant, introduced in the same framework, extends Adam by utilizing the infinity norm to bound parameter updates [19].","19","Adam: A method for stochastic optimization","supported","Kingma and Ba introduce AdaMax in Section 7, basing it on the L_infinity norm"
24,"Batch normalization accelerates neural network training by drastically reducing internal covariate shift [24].","24","Batch normalization: Accelerating deep network training by reducing internal covariate shift","supported","This is the central thesis and title of the paper by Ioffe and Szegedy"
25,"During inference, batch normalization uses the exact mean and variance computed from the specific test mini-batch to normalize activations [24].","24","Batch normalization: Accelerating deep network training by reducing internal covariate shift","unsupported","During inference, population statistics (running averages computed during training) are used rather than the mini-batch metrics"
26,"Batch normalization functions as a regularizer, reducing the absolute necessity for other regularization techniques like dropout in some architectures [24].","24","Batch normalization: Accelerating deep network training by reducing internal covariate shift","supported","Ioffe and Szegedy explicitly state that BN provides a regularizing effect, allowing dropout to be modified or removed"
27,"Applying batch normalization allows models to achieve state-of-the-art results using much higher learning rates while remaining stable [24].","24","Batch normalization: Accelerating deep network training by reducing internal covariate shift","supported","The paper explicitly proves that BN prevents exploding/vanishing gradients, enabling significantly larger learning rates"
28,"Ioffe and Szegedy demonstrated that batch normalization completely eliminates the need for any non-linear activation functions in deep networks [24].","24","Batch normalization: Accelerating deep network training by reducing internal covariate shift","unsupported","BN normalizes inputs to a layer; it does not replace or eliminate non-linear activations like ReLU"
29,"GloVe combines the advantages of global matrix factorization methods and local context window methods for word representation [29].","29","GloVe: Global vectors for word representation","supported","Pennington et al. design GloVe specifically to marry global co-occurrence statistics with local window efficiencies"
30,"The GloVe model outperforms previous skip-gram architectures on word analogy tasks while using significantly fewer training epochs [29].","29","GloVe: Global vectors for word representation","supported","The paper explicitly reports outperforming Word2Vec/skip-gram models on analogies with faster or comparable training footprints"
31,"GloVe relies on a log-bilinear model structure where the dot product of two word vectors equals the absolute raw co-occurrence count [29].","29","GloVe: Global vectors for word representation","unsupported","The dot product equals the *logarithm* of the probability or ratio of co-occurrences, plus bias terms, not the raw count"
32,"The weighting function in GloVe is designed to prevent frequent words from dominating the loss by capping their maximum impact [29].","29","GloVe: Global vectors for word representation","supported","The paper introduces a specialized weighting function f(X_ij) that saturates at a maximum threshold to handle high-frequency tokens"
33,"Pennington et al. showed that GloVe vectors provide a mathematically perfect, error-free mapping of semantic relationships with 100% precision [29].","29","GloVe: Global vectors for word representation","unsupported","While achieving high accuracy, the paper reports standard statistical errors and varying precision across distinct semantic subsets"
34,"Batch normalization was originally demonstrated to be highly effective when applied to recurrent neural networks for text classification [24].","24","Batch normalization: Accelerating deep network training by reducing internal covariate shift","partially_supported","The 2015 paper focuses almost exclusively on convolutional networks and ImageNet, not RNN text processing"
35,"The Adam optimizer includes a bias correction mechanism to compensate for the fact that moment estimates are initialized at zero [19].","19","Adam: A method for stochastic optimization","supported","Kingma and Ba derive and implement initialization bias corrections in Section 3 to adjust for zero-initialization"
36,"GloVe vectors are trained on the full, dense co-occurrence matrix containing all zero entries to ensure global context preservation [29].","29","GloVe: Global vectors for word representation","unsupported","GloVe explicitly ignores zero entries in the co-occurrence matrix to remain computationally efficient and sparse"
37,"Recent benchmarks verify that GloVe word vectors maintain absolute state-of-the-art performance on all modern language understanding tasks compared to transformers [29].","29","GloVe: Global vectors for word representation","unsupported","Temporal violation failure mode: The 2014 paper cannot contain benchmarks against Transformers (2017). The claim is completely anachronistic and unsupported by the source text."
